Language Code,App Name (Max 30 Chars),Short Description (Max 80 Chars),Full Description (Max 4000 Chars)
de,P2P Connect - Direkt Chat,Sicheres Offline-P2P-Messaging und Dateifreigabe im lokalen Netzwerk.,"P2P Connect ermöglicht sichere, direkte Peer-to-Peer-Kommunikation in lokalen Netzwerken und Offline-Subnetzen. Die App arbeitet direkt zwischen Geräten ohne zentrale Server und garantiert absolute Privatsphäre sowie extrem schnelle Übertragungen.

Hauptfunktionen:
- Lokale Schnellsuche: Finden und verbinden Sie sich sofort mit Geräten im selben Wi-Fi.
- Hochgeschwindigkeits-Dateiversand: Teilen Sie Fotos und große Dateien ohne Internetvolumen.
- HD-Videoanrufe: Führen Sie direkte, verschlüsselte Videoanrufe mit minimaler Latenz.
- Sprachnotizen offline: Nehmen Sie Audionotizen lokal auf und übertragen Sie diese sicher.
- Keine Cloud-Server: Daten und Protokolle verbleiben ausschließlich auf Ihrem physischen Gerät."
el,P2P Connect - Άμεση Συνομιλία,Ασφαλής offline P2P επικοινωνία και κοινή χρήση αρχείων στο τοπικό δίκτυο.,Το P2P Connect είναι μια ασφαλής peer-to-peer εφαρμογή άμεσης επικοινωνίας για τοπικά δίκτυα χωρίς κεντρικούς διακομιστές.
en,P2P Connect - Direct Chat,Secure offline peer-to-peer messaging and file sharing on your local network.,"P2P Connect is a secure, direct peer-to-peer communications app designed specifically for local networks, offline subnets, and mesh connections. By operating directly between devices, P2P Connect bypasses third-party central servers, ensuring absolute privacy and high-speed data transmission.

Key Features:
- Direct Local Discovery: Instantly find and connect with peers on the same Wi-Fi subnet or local network.
- High-Speed File Transfers: Share high-resolution photos, documents, and large files directly without internet limits.
- HD Video & Audio Calls: Engage in encrypted direct video calls with ultra-low latency.
- Offline Voice Notes: Record and transmit audio notes locally and securely.
- No Central Servers: Your messages and files are stored strictly on your physical device.
- Quick QR Setup: Easily shake hands and establish connections by scanning localized QR codes.
- Connection Control: Manage communication preferences and block unwanted peers instantly.

Perfect for remote work environments, public Wi-Fi safety, emergency response zones, or anyone prioritizing network privacy."
es,P2P Connect - Chat Seguro,Mensajería segura offline de igual a igual y envío de archivos en red local.,"P2P Connect es una aplicación segura de comunicación directa entre pares diseñada especialmente para redes locales, subredes offline y conexiones de malla. Al funcionar directamente entre dispositivos, evita servidores centrales de terceros, garantizando privacidad absoluta y transferencia de alta velocidad.

Características Principales:
- Descubrimiento Local Directo: Encuentre y conéctese al instante con pares en la misma subred Wi-Fi.
- Transferencias de Archivos a Alta Velocidad: Comparta fotos en alta resolución, documentos y archivos grandes directamente.
- Videollamadas en Alta Definición: Realice llamadas directas de audio y video en HD con baja latencia.
- Notas de Voz Seguras: Grabe y envíe notas de voz locales de manera segura.
- Sin Servidores Centrales: Sus mensajes y datos permanecen estrictamente en su dispositivo físico.
- Configuración Rápida con QR: Establezca conexiones seguras escaneando códigos QR locales.
- Control de Conexión: Administre sus conexiones y bloquee contactos no deseados al instante."
et,P2P Connect (ET),Secure local P2P offline messaging & file sharing in local network (ET).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
fa,P2P Connect (FA),Secure local P2P offline messaging & file sharing in local network (FA).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
fi,P2P Connect - Suorachatti,Turvallinen offline-viestintä ja tiedostojen jako lähiverkossa.,P2P Connect on suojattu peer-to-peer-viestintäsovellus lähiverkkoihin. Kommunikoi suoraan laitteiden välillä ilman keskuspalvelimia.
fr,P2P Connect - Chat Direct,Messagerie et partage de fichiers hors ligne sécurisés sur réseau local.,"P2P Connect est une application de communication directe en pair-à-pair conçue pour les réseaux locaux et les connexions hors ligne. En fonctionnant directement entre appareils, elle garantit une confidentialité absolue et une vitesse maximale.

Fonctionnalités :
- Découverte locale directe : Connectez-vous instantanément sur le même sous-réseau Wi-Fi.
- Partage de fichiers ultra-rapide : Transférez des photos HD et de gros fichiers sans internet.
- Appels vidéo HD : Profitez d'appels vidéo directs de haute qualité à très faible latence.
- Messages vocaux sécurisés : Enregistrez et transmettez des clips audio localement.
- Pas de serveurs centraux : Vos données restent stockées physiquement sur votre appareil."
gl,P2P Connect (GL),Secure local P2P offline messaging & file sharing in local network (GL).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
gu,P2P Connect (GU),Secure local P2P offline messaging & file sharing in local network (GU).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
he,P2P Connect (HE),Secure local P2P offline messaging & file sharing in local network (HE).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
hi,P2P Connect - डायरेक्ट चैट,लोकल नेटवर्क पर सुरक्षित ऑफ़लाइन पीयर-टू-पीयर संदेश और फ़ाइल शेयरिंग।,"P2P Connect एक सुरक्षित डायरेक्ट पीयर-टू-पीयर संचार ऐप है जो स्थानीय नेटवर्क और ऑफ़लाइन सबनेट के लिए तैयार किया गया है। सर्वर के बिना सीधे डिवाइस से डिवाइस कनेक्ट होने के कारण यह पूर्ण गोपनीयता और उच्च-गति डेटा साझाकरण सुनिश्चित करता है।

मुख्य विशेषताएं:
- स्थानीय पीयर खोज: एक ही वाई-फाई नेटवर्क पर मौजूद साथियों से तुरंत कनेक्ट करें।
- हाई-स्पीड फ़ाइल शेयरिंग: बिना इंटरनेट डेटा के एचडी फोटो और बड़ी फ़ाइलें भेजें।
- एचडी वीडियो कॉल: बेहद कम लेटेंसी के साथ वीडियो और ऑडियो कॉल करें।
- ऑफ़लाइन वॉयस नोट्स: स्थानीय रूप से सुरक्षित वॉयस नोट रिकॉर्ड और साझा करें।
- कोई सेंट्रल सर्वर नहीं: आपकी चैट और फ़ाइलें केवल आपके भौतिक डिवाइस पर रहती हैं।"
hr,P2P Connect (HR),Secure local P2P offline messaging & file sharing in local network (HR).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
hu,P2P Connect - Közvetlen Chat,Biztonságos offline P2P üzenetküldés és fájlmegosztás a helyi hálózaton.,"A P2P Connect egy biztonságos, közvetlen peer-to-peer kommunikációs alkalmazás helyi hálózatokhoz, központi szerverek nélkül."
hy,P2P Connect (HY),Secure local P2P offline messaging & file sharing in local network (HY).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
id,P2P Connect - Chat Langsung,Obrolan offline P2P aman dan berbagi file berkecepatan tinggi di jaringan lokal.,P2P Connect adalah aplikasi komunikasi peer-to-peer (P2P) langsung dan aman yang dirancang khusus untuk jaringan lokal tanpa memerlukan koneksi internet.
is,P2P Connect (IS),Secure local P2P offline messaging & file sharing in local network (IS).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
it,P2P Connect - Chat Diretta,Messaggistica e condivisione file offline sicura su rete locale.,"P2P Connect è un'applicazione di comunicazione diretta peer-to-peer per reti locali e connessioni offline. Funzionando direttamente tra i dispositivi, garantisce la massima riservatezza e velocità di trasmissione dei dati.

Caratteristiche:
- Rilevamento locale immediato: Connettiti all'istante con altri utenti sulla stessa rete Wi-Fi.
- Invio file ad alta velocità: Condividi foto e documenti di grandi dimensioni senza consumo internet.
- Videochiamate HD: Effettua chiamate video e audio stabili con bassissima latenza.
- Note vocali offline: Registra e invia memo vocali in modo sicuro e locale.
- Nessun server centrale: Tutti i dati sono memorizzati esclusivamente sul tuo dispositivo."
ja,P2P Connect - 直接チャット,ローカルネットワーク内での安全なオフラインP2Pメッセージとファイル共有。,"P2P Connectは、ローカルネットワークやオフライン環境向けに設計された、安全な直接P2P（ピア・ツー・ピア）通信アプリです。中央サーバーを経由せず、端末間で直接通信を行うため、完全なプライバシーと超高速データ転送を実現します。

主な機能：
- 瞬時ピア検出：同じWi-Fiサブネット上の他の端末を自動検出して接続します。
- 高速ファイル共有：インターネットを使わずに、写真や大容量ファイルを瞬時に転送します。
- HDビデオ通話：低遅延で高画質なビデオ・音声直接通話を提供します。
- オフラインボイスメモ：ローカルかつ安全に音声メッセージを録音・送信します。
- サーバーフリー：メッセージやファイルは物理端末内のみに安全に保存されます。"
ka,P2P Connect (KA),Secure local P2P offline messaging & file sharing in local network (KA).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
km,P2P Connect (KM),Secure local P2P offline messaging & file sharing in local network (KM).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
kn,P2P Connect (KN),Secure local P2P offline messaging & file sharing in local network (KN).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ko,P2P Connect - 직거래 대화,로컬 네트워크 내 안전한 오프라인 P2P 메시지 및 파일 공유.,"P2P Connect는 로컬 네트워크 및 오프라인 환경에 맞춤 설계된 안전한 직접 P2P 통신 앱입니다. 중앙 서버를 거치지 않고 디바이스 간 직접 연결을 지원하여 완벽한 개인 정보 보호와 초고속 데이터 전송 속도를 보장합니다.

주요 기능:
- 즉각적인 피어 검색: 동일한 Wi-Fi 대역 내 사용자들과 빠르게 연결합니다.
- 초고속 파일 전송: 데이터 걱정 없이 사진, 대용량 파일 등을 직접 전송합니다.
- HD 영상 통화: 초저지연 직접 암호화 영상 및 음성 통화를 지원합니다.
- 오프라인 음성 메모: 음성 클립을 로컬 환경에서 안전하게 기록하고 전송합니다.
- 서버 저장 없음: 모든 메시지와 파일은 오직 개인의 물리 기기에만 저장됩니다."
ky,P2P Connect (KY),Secure local P2P offline messaging & file sharing in local network (KY).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
lo,P2P Connect (LO),Secure local P2P offline messaging & file sharing in local network (LO).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
lt,P2P Connect (LT),Secure local P2P offline messaging & file sharing in local network (LT).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
lv,P2P Connect (LV),Secure local P2P offline messaging & file sharing in local network (LV).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
mk,P2P Connect (MK),Secure local P2P offline messaging & file sharing in local network (MK).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ml,P2P Connect (ML),Secure local P2P offline messaging & file sharing in local network (ML).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
mn,P2P Connect (MN),Secure local P2P offline messaging & file sharing in local network (MN).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
mr,P2P Connect (MR),Secure local P2P offline messaging & file sharing in local network (MR).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ms,P2P Connect - Sembang Terus,Sembang offline P2P dan perkongsian fail selamat di rangkaian tempatan.,P2P Connect ialah aplikasi komunikasi terus peer-to-peer (P2P) selamat yang direka untuk rangkaian tempatan tanpa sambungan internet.
my,P2P Connect (MY),Secure local P2P offline messaging & file sharing in local network (MY).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ne,P2P Connect (NE),Secure local P2P offline messaging & file sharing in local network (NE).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
nl,P2P Connect - Directe Chat,Veilig offline peer-to-peer berichten versturen en bestanden delen op lokaal net,"P2P Connect is een veilige, directe peer-to-peer communicatie-app ontworpen voor lokale netwerken en offline verbindingen. Werkt direct tussen apparaten zonder cloud-servers."
nb,P2P Connect - Direkte Chat,Sikker offline peer-to-peer meldinger og fildeling på lokalt nettverk.,"P2P Connect er en sikker peer-to-peer kommunikasjonsapp for lokale nettverk. Ingen sky-servere trengs, all kommunikasjon skjer direkte."
pa,P2P Connect (PA),Secure local P2P offline messaging & file sharing in local network (PA).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
pl,P2P Connect - Bezpieczny Chat,Bezpieczna komunikacja offline P2P i udostępnianie plików w sieci lokalnej.,P2P Connect to bezpieczna aplikacja do bezpośredniej komunikacji peer-to-peer w sieciach lokalnych. Działa bezpośrednio między urządzeniami bez udziału serwerów pośredniczących.
pt,P2P Connect - Chat Direto,Mensagens offline e compartilhamento de arquivos seguro em rede local.,"P2P Connect é um aplicativo seguro de comunicação direta de igual para igual projetado para redes locais e conexões offline. Ao operar diretamente entre os dispositivos, garante privacidade absoluta e alta velocidade.

Principais Recursos:
- Descoberta Local Direta: Conecte-se instantaneamente com pares na mesma rede Wi-Fi.
- Transferência de Arquivos Rápida: Compartilhe fotos HD e arquivos grandes sem usar a internet.
- Chamadas de Vídeo HD: Realize chamadas diretas de vídeo e áudio com baixa latenza.
- Notas de Voz Seguras: Grave e envie áudios de forma estritamente local.
- Sem Servidores Centrais: Suas conversas e dados permanecem apenas em seu próprio aparelho."
ro,P2P Connect - Chat Direct,Mesagerie offline P2P securizată și partajare de fișiere în rețeaua locală.,P2P Connect este o aplicație securizată de comunicare directă peer-to-peer (P2P) pentru rețele locale și conexiuni offline.
ru,P2P Connect - Прямой чат,Безопасный офлайн-обмен сообщениями и файлами в локальной сети.,"P2P Connect — безопасное приложение для прямого общения без интернета по локальной сети и офлайн-подсетям. Работая напрямую между устройствами без сторонних серверов, приложение гарантирует полную конфиденциальность и высокую скорость передачи данных.

Ключевые преимущества:
- Мгновенный поиск пиров: Быстро подключайтесь к устройствам в одной сети Wi-Fi.
- Скоростной обмен файлами: Отправляйте фото и большие файлы без ограничений интернета.
- Видеозвонки HD качества: Совершайте стабильные видео- и аудиозвонки с низкой задержкой.
- Голосовые заметки: Записывайте и отправляйте голосовые сообщения безопасно в локальном режиме.
- Локальное хранение: Все чаты и файлы хранятся строго на вашем физическом устройстве."
si,P2P Connect (SI),Secure local P2P offline messaging & file sharing in local network (SI).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
sk,P2P Connect (SK),Secure local P2P offline messaging & file sharing in local network (SK).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
sl,P2P Connect (SL),Secure local P2P offline messaging & file sharing in local network (SL).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
sq,P2P Connect (SQ),Secure local P2P offline messaging & file sharing in local network (SQ).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
sr,P2P Connect (SR),Secure local P2P offline messaging & file sharing in local network (SR).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
sv,P2P Connect - Direktchatt,Säker offline peer-to-peer-meddelanden och fildelning på ditt lokala nätverk.,P2P Connect är en säker peer-to-peer-kommunikationsapp för lokala nätverk. Fungerar direkt mellan enheter för absolut integritet och snabb fildelning.
sw,P2P Connect (SW),Secure local P2P offline messaging & file sharing in local network (SW).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
ta,P2P Connect (TA),Secure local P2P offline messaging & file sharing in local network (TA).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
te,P2P Connect (TE),Secure local P2P offline messaging & file sharing in local network (TE).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
th,P2P Connect - แชทโดยตรง,รับส่งข้อความและแชร์ไฟล์แบบออฟไลน์อย่างปลอดภัยบนเครือข่ายท้องถิ่นของคุณ,P2P Connect เป็นแอปพลิเคชันสื่อสารแบบจุดต่อจุด (P2P) ที่ปลอดภัย ออกแบบมาสำหรับเครือข่ายท้องถิ่นและการเชื่อมต่อแบบออฟไลน์ ช่วยให้คุณสื่อสารได้โดยตรงโดยไม่ต้องผ่านเซิร์ฟเวอร์ส่วนกลาง
tl,P2P Connect (TL),Secure local P2P offline messaging & file sharing in local network (TL).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
tr,P2P Connect - Güvenli Sohbet,Yerel ağda internet olmadan güvenli çevrimdışı P2P mesajlaşma ve dosya paylaşımı,"P2P Connect, yerel ağlar ve internet bağlantısı olmayan durumlar için tasarlanmış güvenli bir eşler arası (P2P) iletişim uygulamasıdır. Doğrudan cihazlar arasında çalışarak verilerinizi güvende tutar."
uk,P2P Connect - Прямий чат,Безпечний офлайн-обмін повідомленнями та файлами в локальній мережі.,P2P Connect — безпечний офлайн-додаток для прямого зв'язку peer-to-peer в локальних мережах без використання центральних серверів.
ur,P2P Connect (UR),Secure local P2P offline messaging & file sharing in local network (UR).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
uz,P2P Connect (UZ),Secure local P2P offline messaging & file sharing in local network (UZ).,"P2P Connect is a secure direct peer-to-peer communication app for local networks, providing offline messaging, HD video calling, voice notes, and file transfers completely without internet dependence. Designed for absolute privacy and local speed."
vi,P2P Connect - Chat Nội Bộ,Nhắn tin ngoại tuyến và chia sẻ tệp ngang hàng an toàn trong mạng nội bộ.,"P2P Connect là ứng dụng giao tiếp ngang hàng (peer-to-peer) trực tiếp và bảo mật được thiết kế chuyên biệt cho mạng nội bộ, mạng ngoại tuyến hoặc kết nối mesh. Hoạt động trực tiếp giữa các thiết bị mà không qua máy chủ trung gian, giúp đảm bảo sự riêng tư tuyệt đối và tốc độ truyền dữ liệu tối đa.

Tính năng nổi bật:
- Tự động tìm thiết bị nội bộ: Kết nối nhanh chóng với các thiết bị cùng mạng Wi-Fi.
- Chia sẻ tệp tốc độ cao: Truyền gửi ảnh độ phân giải cao, tài liệu và tệp lớn không tốn lưu lượng internet.
- Gọi video & thoại HD: Thực hiện các cuộc gọi trực tiếp chất lượng cao với độ trễ cực thấp.
- Tin nhắn thoại ngoại tuyến: Ghi âm và truyền gửi file âm thanh an toàn nội bộ.
- Không lưu trên máy chủ: Toàn bộ tin nhắn và tệp tin chỉ lưu trữ trực tiếp trên thiết bị của bạn.
- Quét mã QR kết nối nhanh: Thiết lập bắt tay kết nối bảo mật tức thì chỉ bằng thao tác quét QR.
- Quản lý kết nối: Chặn và quản lý danh sách thiết bị liên kết dễ dàng."
zh,P2P Connect - 直连通讯,局域网内的安全离线点对点消息传递与文件共享。,"P2P Connect 是一款专为局域网和离线网络设计的点对点（P2P）安全通信工具。应用无需经过任何第三方中央服务器，直接在设备之间进行数据传输，从而确保极高的隐私安全与出色的传输速率。

核心功能：
- 局域网即时发现：自动发现并连接至同一 Wi-Fi 网络下的其他用户。
- 免流量高速传输：直接发送高清照片、文档和大型文件，不耗费任何互联网流量。
- HD 视频通话：享受超低延迟的高清视频和语音直连通话。
- 本地安全语音：在本地安全录制并发送语音消息。
- 无中央服务器：所有聊天记录和文件仅安全地保存在您自己的物理设备中。
- QR 扫码互联：扫描对方生成的局域网二维码即可瞬间建立安全连接。"
