Language Code,Language Name,Title (<=30 chars),Title Char Count,Short Description (<=80 chars),Short Desc Char Count,Full Description (<=4000 chars),Full Desc Char Count
de,German,P2P Connect - Offline Chat,26,Direktes P2P-Messaging und Dateiübertragung ohne Internet oder Server.,70,"P2P Connect ermöglicht das Chatten, Anrufen und Teilen von Dateien direkt mit Geräten in der Nähe über lokales WLAN ohne Internetverbindung.

Hauptmerkmale:
• Direkter P2P-Chat &amp; Anrufe
• Schneller Dateiaustausch
• Volle Privatsphäre &amp; lokale Verschlüsselung
• Funktioniert komplett offline",298
el,Greek,P2P Connect - Offline Τσατ,26,Άμεση ανταλλαγή μηνυμάτων και αρχείων P2P χωρίς ίντερνετ.,57,"Το P2P Connect σας επιτρέπει να συνομιλείτε και να μοιράζεστε αρχεία απευθείας με κοντινές συσκευές μέσω τοπικού Wi-Fi χωρίς ίντερνετ.

Χαρακτηριστικά:
• Άμεσο P2P τσατ και κλήσεις
• Γρήγορη κοινοποίηση αρχείων
• Πλήρης ιδιωτικότητα
• Λειτουργεί εντελώς offline",261
es,Spanish,P2P Connect - Chat Offline,26,Mensajería directa P2P y envío de archivos sin internet ni servidores.,70,"P2P Connect te permite chatear, llamar y compartir archivos directamente con dispositivos cercanos a través de Wi-Fi local sin conexión a internet ni servidores.

Características principales:
• Chat directo P2P y llamadas de voz/video
• Transferencia rápida de archivos y fotos
• Encriptación local y privacidad absoluta
• Funciona totalmente offline",350
et,Estonian,P2P Connect - Võrguvaba chat,28,Otse P2P-sõnumside ja failijagamine ilma internetita.,53,"P2P Connect võimaldab vestelda ja faile jagada otse lähedalolevate seadmetega kohaliku Wi-Fi kaudu ilma internetita.

Omadused:
• Otse P2P vestlus ja kõned
• Kiire failijagamine
• Täielik privaatsus
• Töötab täielikult võrguühenduseta",234
eu,Basque,P2P Connect - Offline Chat,26,Zuzeneko P2P mezuak eta fitxategi partekatzea internetik gabe.,62,"P2P Connect-ek gertuko gailuekin zuzenean txateatzeko eta fitxategiak partekatzeko aukera ematen dizu tokiko Wi-Fi bidez internetik gabe.

Ezaugarriak:
• Zuzeneko P2P txat eta deiak
• Fitxategi partekatze azkarra
• Pribatutasun osoa
• Lineaz kanpo dabil",253
fa,Persian,P2P Connect - چت آفلاین,23,پیام‌رسانی و اشتراک‌گذاری مستقیم فایل بدون اینترنت و سرور.,58,"برنامه P2P Connect به شما امکان می‌دهد بدون نیاز به اینترنت و از طریق Wi-Fi محلی با دستگاه‌های نزدیک چت کرده و فایل به اشتراک بگذارید.

ویژگی‌ها:
• چت و تماس مستقیم P2P
• اشتراک‌گذاری سریع فایل
• حریم خصوصی کامل
• کاملاً آفلاین",227
fi,Finnish,P2P Connect - Offline Chat,26,Suora P2P-viestintä ja tiedostojen jako ilman internetiä.,57,"P2P Connect mahdollistaa chatin ja tiedostojen jaon suoraan lähilaitteiden kanssa paikallisen Wi-Fi:n kautta ilman internetiä.

Ominaisuudet:
• Suora P2P-chat ja puhelut
• Nopea tiedostojako
• Täysi yksityisyys
• Toimii täysin offline-tilassa",242
fr,French,P2P Connect - Chat Offline,26,Messagerie P2P directe et partage de fichiers sans connexion internet.,70,"P2P Connect vous permet de discuter, d'appeler et de partager des fichiers directement avec les appareils à proximité via le Wi-Fi local sans internet ni serveur central.

Fonctionnalités principales :
• Chat P2P direct et appels vidéo/audio
• Partage rapide de fichiers et médias
• Confidentialité totale et chiffrement local
• Fonctionne entièrement hors ligne",362
gl,Galician,P2P Connect - Chat Offline,26,Mensaxería directa P2P e compartición de ficheiros sen internet.,64,"P2P Connect permíteche chatear e compartir ficheiros directamente con dispositivos próximos mediante Wi-Fi local sen internet.

Características:
• Chat directo P2P e chamadas
• Compartición rápida de ficheiros
• Privacidade total
• Funciona totalmente fóra de liña",264
gu,Gujarati,P2P Connect - ઑફલાઇન ચેટ,24,ઇન્ટરનેટ કે સર્વર વિના સીધું P2P મેસેજિંગ અને ફાઇલ શેરિંગ.,58,"P2P Connect તમને ઇન્ટરનેટ વિના સ્થાનિક Wi-Fi દ્વારા નજીકના ઉપકરણો સાથે સીધી ચેટ અને ફાઇલ શેર કરવાની મંજૂરી આપે છે.

મુખ્ય વિશેષતાઓ:
• સીધી P2P ચેટ અને કૉલ્સ
• ઝડપી ફાઇલ શેરિંગ
• સંપૂર્ણ ગોપનીયતા
• ઓનલાઈન ડેટા વિના કાર્ય કરે છે",226
he,Hebrew,P2P Connect - צ'אט אופליין,26,הודעות P2P ישירות ושיתוף קבצים ללא צורך באינטרנט או שרתים.,58,"P2P Connect מאפשר לך לצ'וטט ולשתף קבצים ישירות עם מכשירים סמוכים דרך Wi-Fi מקומי ללא חיבור לאינטרנט.

תכונות עיקריות:
• צ'אט ושיחות P2P ישירות
• שיתוף קבצים מהיר
• פרטיות מלאה
• עובד במצב אופליין מלא",199
hi,Hindi,P2P Connect - ऑफलाइन चैट,24,बिना इंटरनेट या सर्वर के सीधा P2P मैसेजिंग और फाइल शेयरिंग।,59,"P2P Connect आपको लोकल Wi-Fi के जरिए बिना इंटरनेट कनेक्शन के पास के डिवाइस से चैट, कॉल और फाइल शेयर करने की सुविधा देता है।

मुख्य विशेषताएं:
• सीधा P2P चैट और कॉल
• तेज़ फ़ाइल और मीडिया शेयरिंग
• पूर्ण गोपनीयता और सुरक्षा
• पूरी तरह से ऑफलाइन मोड",246
hr,Croatian,P2P Connect - Offline Chat,26,Izravne P2P poruke i dijeljenje datoteka bez interneta i poslužitelja.,70,"P2P Connect omogućuje vam izravan chat i dijeljenje datoteka s uređajima u blizini putem lokalnog Wi-Fi-ja bez interneta.

Značajke:
• Izravni P2P chat i pozivi
• Brzo dijeljenje datoteka
• Potpuna privatnost
• Radi potpuno offline",231
hu,Hungarian,P2P Connect - Offline Chat,26,Közvetlen P2P üzenetküldés és fájlmegosztás internet nélkül.,60,"A P2P Connect lehetővé teszi a közvetlen chatet és fájlmegosztást a közeli eszközökkel helyi Wi-Fi-n keresztül, internet nélkül.

Főbb jellemzők:
• Közvetlen P2P chat és hívások
• Gyors fájlmegosztás
• Teljes magánélet
• Teljesen offline működik",245
hy,Armenian,P2P Connect - Օֆլայն Զրույց,27,Ուղիղ P2P հաղորդագրություններ և ֆայլերի փոխանակում առանց ինտերնետի։,67,"P2P Connect-ը թույլ է տալիս ուղղակիորեն զրուցել և ֆայլեր փոխանակել մոտակա սարքերի հետ local Wi-Fi-ի միջոցով առանց ինտերնետի։

Հատկություններ:
• Ուղիղ P2P զրույց և զանգեր
• Արագ ֆայլերի փոխանցում
• Լիարժեք գաղտնիություն
• Աշխատում է օֆլայն",238
id,Indonesian,P2P Connect - Chat Offline,26,Pesan P2P langsung & berbagi berkas tanpa internet atau server.,63,"P2P Connect memungkinkan Anda mengobrol, menelepon, dan berbagi berkas secara langsung dengan perangkat terdekat melalui Wi-Fi lokal tanpa internet.

Fitur Utama:
• Obrolan & Panggilan P2P Langsung
• Berbagi Berkas Cepat
• Privasi & Enkripsi Lokal Penuh
• Bekerja Sepenuhnya Offline",282
is,Icelandic,P2P Connect - Offline Spjall,28,Beinar P2P skilaboð og skráardeiling án internets eða netþjóna.,63,"P2P Connect gerir þér kleift að spjalla og deila skrám beint við tæki í nágrenninu um staðbundið Wi-Fi án internets.

Helstu eiginleikar:
• Beint P2P spjall og zöll
• Hröð skráardeiling
• Algert öryggi og persónuvernd
• Virkar án internets",239
it,Italian,P2P Connect - Chat Offline,26,Messaggistica P2P diretta e condivisione file senza internet.,61,"P2P Connect ti permette di chattare, chiamare e condividere file direttamente con i dispositivi vicini tramite Wi-Fi locale senza internet.

Caratteristiche principali:
• Chat e chiamate P2P dirette
• Condivisione rapida di file e media
• Privacy totale e crittografia locale
• Funziona completamente offline",308
ja,Japanese,P2P Connect - ネット不要チャット,23,インターネットやサーバー不要。直接接続できるP2Pチャット＆ファイル共有。,37,"P2P Connectは、インターネット接続や中央サーバーを一切必要とせず、ローカルWi-Fi経由で近くの端末と直接チャット、通話、ファイル共有ができるアプリです。

主な機能:
• ダイレクトP2Pチャット＆音声/ビデオ通話
• 高速ファイル・メディア共有
• 完全なプライバシーとローカル暗号化
• 完全オフライン動作",161
ka,Georgian,P2P Connect - ოფლაინ ჩატი,25,პირდაპირი P2P შეტყობინებები და ფაილების გაზიარება ონლაინ გარეშე.,64,"P2P Connect საშუალებას გაძლევთ პირდაპირ იchatოთ და გააზიაროთ ფაილები ახლომდებარე მოწყობილობებთან ლოკალური Wi-Fi-ით.

მახასიათებლები:
• პირდაპირი P2P ჩატი და ზარები
• სწრაფი ფაილების გაზიარება
• სრული კონფიდენციალურობა
• მუშაობს ოფლაინში",236
kk,Kazakh,P2P Connect - Офлайн чат,24,Интернетсіз және серверсіз тікелей P2P хабарламалар мен файл алмасу.,68,"P2P Connect жергілікті Wi-Fi арқылы интернетсіз маңайдағы құрылғылармен тікелей сөйлесуге және файлдармен бөлісуге мүмкіндік береді.

Мүмкіндіктер:
• Тікелей P2P чат және қоңыраулар
• Жылдам файл алмасу
• Толық құпиялылық
• Офлайн режимінде жұмыс істейді",254
km,Khmer,P2P Connect - ជជែកអូហ្វឡាញ,26,ការផ្ញើសារ P2P និងការចែករំលែកឯកសារដោយផ្ទាល់ដោយមិនបាច់ប្រើអ៊ីនធឺណិត។,67,"P2P Connect អនុញ្ញាតឱ្យអ្នកជជែក និងចែករំលែកឯកសារដោយផ្ទាល់ជាមួយឧបករណ៍នៅជិតខាងតាមរយៈ Wi-Fi ក្នុងស្រុកដោយមិនបាច់ប្រើអ៊ីនធឺណិត។

លក្ខណៈពិសេស:
• ការជជែក និងការហៅ P2P ដោយផ្ទាល់
• ការចែករំលែកឯកសាររហ័ស
• ឯកជនភាព និងសុវត្ថិភាពពេញលេញ
• ធ្វើការដោយគ្មានអ៊ីនធឺណិត",250
kn,Kannada,P2P Connect - ಆಫ್‌ಲೈನ್ ಚಾಟ್,27,ಇಂಟರ್ನೆಟ್ ಅಥವಾ ಸರ್ವರ್ ಇಲ್ಲದೆ ನೇರ P2P ಸಂದೇಶ ಕಳುಹಿಸುವಿಕೆ ಮತ್ತು ಫೈಲ್ ಹಂಚಿಕೆ.,73,"P2P Connect ಇಂಟರ್ನೆಟ್ ಅಗತ್ಯವಿಲ್ಲದೇ ಸ್ಥಳೀಯ Wi-Fi ಮೂಲಕ ಹತ್ತಿರದ ಸಾಧನಗಳೊಂದಿಗೆ ನೇರವಾಗಿ ಚಾಟ್ ಮಾಡಲು ಮತ್ತು ಫೈಲ್‌ಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಲು ನಿಮಗೆ ಅನುಮತಿಸುತ್ತದೆ.

ಪ್ರಮುಖ ವೈಶಿಷ್ಟ್ಯಗಳು:
• ನೇರ P2P ಚಾಟ್ ಮತ್ತು ಕರೆಗಳು
• ವೇಗದ ಫೈಲ್ ಹಂಚಿಕೆ
• ಸಂಪೂರ್ಣ ಗೌಪ್ಯತೆ
• ಆಫ್‌ಲೈನ್‌ನಲ್ಲೇ ಸಂಪೂರ್ಣವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ",279
ko,Korean,P2P Connect - 오프라인 채팅,21,인터넷이나 중앙 서버 없이 근처 기기와 직접 연결하는 P2P 메신저.,38,"P2P Connect는 인터넷 연결이나 서버 없이 로컬 Wi-Fi를 통해 주변 기기와 직접 채팅, 통화 및 파일 공유를 수행하는 P2P 통신 앱입니다.

주요 기능:
• 직접 P2P 채팅 및 음성/영상 통화
• 초고속 파일 및 미디어 전송
• 완벽한 개인정보 보호 및 로컬 암호화
• 완전한 오프라인 작동 지원",173
lo,Lao,P2P Connect - ແຊັດອອບໄລນ໌,25,ສົ່ງຂໍ້ຄວາມ P2P ແລະແເຊຣ໌ໄຟລ໌ໂດຍກົງໂດຍບໍ່ຕ້ອງໃຊ້ອິນເຕີເນັດ.,58,"P2P Connect ຊ່ວຍໃຫ້ທ່ານແຊັດ ແລະແເຊຣ໌ໄຟລ໌ໂດຍກົງກັບອຸປະກອນໃກ້ກຽງຜ່ານ Wi-Fi ທ້ອງຖິ່ນໂດຍບໍ່ຕ້ອງໃຊ້ອິນເຕີເນັດ.

ຄຸນສົມບັດ:
• ແຊັດ ແລະໂທ P2P ໂດຍກົງ
• ສ່ງໄຟລ໌ໄດ້ໄວ
• ຄວາມເປັນສ່ວນຕົວສູງສຸດ
• ທຳງານອອບໄລນ໌ໄດ້ 100%",203
lt,Lithuanian,P2P Connect - Pokalbiai P2P,27,Tiesioginiai P2P pranešimai ir failų dalijimasis be interneto.,62,"P2P Connect leidžia tiesiogiai bendrauti ir dalytis failais su netoliese esančiais įrenginiais per vietinį Wi-Fi be interneto.

Savybės:
• Tiesioginis P2P pokalbis ir skambučiai
• Greitas failų dalijimasis
• Visiškas privatumas
• Veikia visiškai offline",253
lv,Latvian,P2P Connect - Bezsaistes čats,29,Tiešā P2P ziņapmaiņa un failu koplietošana bez interneta.,57,"P2P Connect ļauj tērzēt un koplietot failus tieši ar tuvumā esošajām ierīcēm, izmantojot lokālo Wi-Fi bez interneta.

Iespējas:
• Tiešais P2P čats un zvanīšana
• Ātra failu koplietošana
• Pilnīga konfidencialitāte
• Strādā bez interneta",236
mk,Macedonian,P2P Connect - Офлајн разговор,29,Директни P2P пораки и споделување датотеки без интернет.,56,"P2P Connect ви овозможува директен разговор и споделување датотеки со блиски уреди преку локален Wi-Fi без интернет.

Карактеристики:
• Директен P2P разговор и повици
• Брзо споделување датотеки
• Целосна приватност
• Работи офлајн",231
ml,Malayalam,P2P Connect - ചാറ്റ്,20,ഇന്റർനെറ്റോ സെർവറോ ഇല്ലാതെ നേരിട്ടുള്ള P2P സന്ദേശമയയ്ക്കലും ഫയൽ പങ്കിടലും.,74,"P2P Connect പ്രാദേശിക Wi-Fi വഴി ഇന്റർനെറ്റ് ഇല്ലാതെ അടുത്തുള്ള ഉപകരണങ്ങളുമായി നേരിട്ട് ചാറ്റ് ചെയ്യാനും ഫയലുകൾ പങ്കിടാനും നിങ്ങളെ അനുവദിക്കുന്നു.

പ്രധാന സവിശേഷതകൾ:
• നേരിട്ടുള്ള P2P ചാറ്റും കോളുകളും
• വേഗത്തിലുള്ള ഫയൽ പങ്കിടൽ
• പൂർണ്ണ സ്വകാര്യത
• ഓഫ്‌ലൈനായി പ്രവർത്തിക്കുന്നു",276
mn,Mongolian,P2P Connect - Офлайн чат,24,Интернет ба сервергүйгээр шууд P2P мессеж ба файл хуваалцах.,60,"P2P Connect нь интернетгүйгээр орон нутгийн Wi-Fi ашиглан ойролцоох төхөөрөмжүүдтэй шууд чатлах болон файл хуваалцах боломжийг олгоно.

Онцлог:
• Шууд P2P чат ба дуудлага
• Хурдан файл хуваалцах
• Бүрэн нууцлал
• Офлайн ажиллана",228
mr,Marathi,P2P Connect - ऑफलाईन चॅट,24,इंटरनेट किंवा सर्व्हरशिवाय थेट P2P मेसेजिंग आणि फाइल शेअरिंग।,61,"P2P Connect तुम्हाला लोकल वाय-फायद्वारे इंटरनेटशिवाय जवळच्या उपकरणांशी थेट चॅट आणि फाइल शेअर करण्याची अनुमती देते.

प्रमुख वैशिष्ट्ये:
• थेट P2P चॅट आणि कॉल्स
• जलद फाइल शेअरिंग
• पूर्ण गोपनीयता
• संपूर्णपणे ऑफलाइन कार्य करते",225
ms,Malay,P2P Connect - Sembang Offline,29,Mesej P2P terus & perkongsian fail tanpa internet atau pelayan.,63,"P2P Connect membolehkan anda bersembang dan berkongsi fail secara terus dengan peranti berdekatan melalui Wi-Fi tempatan tanpa internet.

Ciri-ciri Utama:
• Sembang & Panggilan P2P Terus
• Perkongsian Fail Pantas
• Privasi Penuh & Enkripsi Tempatan
• Berfungsi Luar Talian Sepenuhnya",283
ne,Nepali,P2P Connect - अफलाइन च्याट,26,इन्टरनेट वा सर्भर बिना सीधा P2P मेसेजिङ र फाइल सेयरिङ।,54,"P2P Connect ले तपाईंलाई इन्टरनेट बिना स्थानीय Wi-Fi मार्फत नजिकैका उपकरणहरूसँग सीधा च्याट र फाइल सेयर गर्न दिन्छ।

मुख्य विशेषताहरू:
• सीधा P2P च्याट र कलहरू
• द्रुत फाइल सेयरिङ
• पूर्ण गोपनीयता र सुरक्षा
• पूर्ण रूपमा अफलाइन चल्छ",230
nl,Dutch,P2P Connect - Offline Chat,26,Directe P2P-berichten en bestanden delen zonder internet of servers.,68,"Met P2P Connect kunt u direct chatten, bellen en bestanden delen met apparaten in de buurt via lokale Wi-Fi zonder internet.

Belangrijkste kenmerken:
• Directe P2P-chat en bellen
• Snelle bestandsoverdracht
• Volledige privacy en lokale versleuteling
• Werkt volledig offline",276
no,Norwegian,P2P Connect - Offline Chat,26,Direkte P2P-meldinger og fildeling uten internett eller servere.,64,"P2P Connect lar deg chatte og dele filer direkte med enheter i nærheten via lokalt Wi-Fi uten internettilkobling.

Hovedfunksjoner:
• Direkte P2P-chat og samtaler
• Rask fildeling
• Full personvern
• Fungerer helt offline",221
pa,Punjabi,P2P Connect - ਆਫ਼ਲਾਈਨ ਚੈਟ,25,ਇੰਟਰਨੈੱਟ ਜਾਂ ਸਰਵਰ ਤੋਂ ਬਿਨਾਂ ਸਿੱਧਾ P2P ਸੁਨੇਹੇ ਅਤੇ ਫਾਈਲ ਸ਼ੇਅਰਿੰਗ।,63,"P2P Connect ਤੁਹਾਨੂੰ ਇੰਟਰਨੈੱਟ ਤੋਂ ਬਿਨਾਂ ਸਥਾਨਕ Wi-Fi ਰਾਹੀਂ ਨੇੜਲੇ ਡਿਵਾਈਸਾਂ ਨਾਲ ਸਿੱਧਾ ਚੈਟ ਅਤੇ ਫਾਈਲਾਂ ਸ਼ੇਅਰ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਦਿੰਦਾ ਹੈ।

ਮੁੱਖ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ:
• ਸਿੱਧੀ P2P ਚੈਟ ਅਤੇ ਕਾਲਾਂ
• ਤੇਜ਼ ਫਾਈਲ ਸ਼ੇਅਰਿੰਗ
• ਪੂਰੀ ਗੁਪਤਤਾ
• ਪੂਰੀ ਤਰ੍ਹਾਂ ਆਫਲਾਈਨ ਕੰਮ ਕਰਦਾ ਹੈ",240
pl,Polish,P2P Connect - Czat Offline,26,Bezpośrednie wiadomości P2P i udostępnianie plików bez internetu.,65,"P2P Connect umożliwia bezpośredni czat, połączenia i udostępnianie plików z urządzeniami w pobliżu przez lokalne Wi-Fi bez internetu.

Główne funkcie:
• Bezpośredni czat P2P i połączenia
• Szybkie udostępnianie plików
• Pełna prywatność
• Działa całkowicie offline",264
pt,Portuguese,P2P Connect - Chat Offline,26,Mensagens diretas P2P e envio de arquivos sem internet nem servidores.,70,"O P2P Connect permite conversar, chamar e compartilhar arquivos diretamente com dispositivos próximos via Wi-Fi local sem internet.

Recursos principais:
• Chat e chamadas P2P diretas
• Compartilhamento rápido de arquivos
• Total privacidade e criptografia local
• Funciona 100% offline",286
ro,Romanian,P2P Connect - Chat Offline,26,Mesagerie P2P directă și partajare de fișiere fără internet.,60,"P2P Connect vă permite să discutați și să partajați fișiere direct cu dispozitivele din apropiere prin Wi-Fi local fără internet.

Caracteristici principale:
• Chat și apeluri P2P directe
• Partajare rapidă de fișiere
• Confidențialitate totală
• Funcționează complet offline",275
ru,Russian,P2P Connect - Офлайн чат,24,Прямой P2P чат и обмен файлами без интернета и центральных серверов.,68,"P2P Connect позволяет вам общаться, звонить и передавать файлы напрямую на устройства поблизости через локальный Wi-Fi без интернета.

Основные функции:
• Прямой P2P чат и звонки
• Быстрый обмен файлами и медиа
• Полная конфиденциальность и локальное шифрование
• Работает полностью оффлайн",290
sk,Slovak,P2P Connect - Offline Chat,26,Priame P2P správy a zdieľanie súborov bez internetu a serverov.,63,"P2P Connect vám umožňuje chatovať a zdieľať súbory priamo s blízkych zariadeniami cez lokálne Wi-Fi bez internetu.

Hlavné funkcie:
• Priamy P2P chat a hovory
• Rýchle zdieľanie súborov
• Úplné súkromie
• Funguje úplne offline",226
sl,Slovenian,P2P Connect - Offline Klepet,28,Neposredno P2P sporočanje in izmenjava datotek brez interneta.,62,"P2P Connect vam omogoča neposreden klepet in izmenjavo datotek z bližnjimi napravami preko lokalnega Wi-Fi brez interneta.

Glavne značilnosti:
• Neposreden P2P klepet in klici
• Hitra izmenjava datotek
• Popolna zasebnost
• Deluje popolnoma offline",249
sq,Albanian,P2P Connect - Bisedë Offline,28,Mesazhe direkte P2P dhe ndarje skedarësh pa internet ose serverë.,65,"P2P Connect ju lejon të bisedoni dhe të ndani skedarë drejtpërdrejt me pajisjet pranë përmes Wi-Fi lokal pa internet.

Veçoritë kryesore:
• Bisedë dhe telefonata direkte P2P
• Ndarje e shpejtë e skedarëve
• Privatësi e plotë
• Punon plotësisht offline",251
sr,Serbian,P2P Connect - Офлајн чат,24,Директне P2P поруке и дељење датотека без интернета и сервера.,62,"P2P Connect вам омогућава директан чат и дељење датотека са уређајима у близини путем локалног Wi-Fi-ја без интернета.

Карактеристике:
• Директан P2P чат и позиви
• Брзо дељење датотека
• Потпуна приватност
• Ради потпуно офлајн",229
sv,Swedish,P2P Connect - Offline Chat,26,Direkt P2P-meddelande och fildelning utan internet eller servrar.,65,"P2P Connect låter dig chatta och dela filer direkt med enheter i närheten via lokalt Wi-Fi utan internetanslutning.

Huvudfunktioner:
• Direkt P2P-chatt och samtal
• Snabb fildelning
• Fullständig integritet
• Fungerar helt offline",231
sw,Swahili,P2P Connect - Offline Chat,26,Ujumbe wa moja kwa moja wa P2P na kushiriki faili bila interneti.,65,"P2P Connect inakuwezesha kuzungumza na kushiriki faili moja kwa moja na vifaa vya karibu kupitia Wi-Fi ya eneo bila interneti.

Vipengele Kuu:
• Chat na Simu za Moja kwa Moja za P2P
• Kushiriki Faili kwa Haraka
• Faragha Kamili na Usalama
• Inafanya Kazi Offline Kabisa",269
zh-rCN,Chinese (Simplified),P2P Connect - 局域网直连聊天,21,无需互联网或服务器，设备间直接点对点消息与文件传输。,26,"P2P Connect 允许您通过局域网 Wi-Fi 或热点直接与附近设备进行聊天、通话和文件共享，完全无需互联网连接或中央服务器。

核心功能：
• 直接点对点（P2P）聊天与音视频通话
• 高速本地文件与媒体传输
• 端到端本地加密与全面隐私保护
• 无需移动流量与服务器依赖
• 内置网络诊断与性能监测",154
